iter	Logloss
0	0.6889340363
1	0.6852809503
2	0.6824269965
3	0.6797008986
4	0.6773189748
5	0.6755788524
6	0.6734322926
7	0.6718891401
8	0.6701985339
9	0.668842226
10	0.667251891
11	0.6652710855
12	0.6639408732
13	0.6625595291
14	0.6615688313
15	0.6605742686
16	0.6595105058
17	0.6582310846
18	0.6571469855
19	0.6559329125
20	0.6548855208
21	0.6535988163
22	0.6524120274
23	0.6514566918
24	0.6502222894
25	0.6490449443
26	0.648410276
27	0.6475445142
28	0.6468255726
29	0.6457688191
30	0.6451811917
31	0.6441449605
32	0.643281681
33	0.6422470424
34	0.6412440165
35	0.6401893271
36	0.639277994
37	0.6382653539
38	0.6372008104
39	0.6363921128
40	0.63512601
41	0.6340548516
42	0.6332279975
43	0.6326111089
44	0.6317035499
45	0.6310507424
46	0.6302557369
47	0.6290510851
48	0.6285470454
49	0.6279387294
50	0.6270750328
51	0.6262810716
52	0.625371252
53	0.6245197603
54	0.6237652376
55	0.6231119996
56	0.6225193026
57	0.6218883331
58	0.6213796613
59	0.6203965203
60	0.6199173788
61	0.6193508539
62	0.6187714692
63	0.6182663006
64	0.6175962321
65	0.6168065641
66	0.6155028821
67	0.614991104
68	0.614025332
69	0.613372399
70	0.6125267707
71	0.6120011634
72	0.6112757679
73	0.6107073377
74	0.6101270685
75	0.6096422848
76	0.608915984
77	0.608208043
78	0.6077004453
79	0.6068666884
80	0.6063740172
81	0.6056374318
82	0.6051431672
83	0.6045126876
84	0.603920737
85	0.603475238
86	0.6025861101
87	0.6016872465
88	0.6008553926
89	0.6001738724
90	0.5993772468
91	0.5988425188
92	0.5984833665
93	0.5978314097
94	0.5973928674
95	0.5965706726
96	0.5959096566
97	0.5955857785
98	0.5952742372
99	0.5944926661
100	0.593944558
101	0.5935535634
102	0.5932552833
103	0.5925944267
104	0.5921579205
105	0.5918468017
106	0.5916236593
107	0.591102244
108	0.5903868813
109	0.5898160751
110	0.5894459788
111	0.5888316363
112	0.5885734015
113	0.587936526
114	0.5874371779
115	0.5869356379
116	0.5865908887
117	0.5862255093
118	0.5853361235
119	0.5848826484
120	0.5841843578
121	0.5835655985
122	0.5829010507
123	0.5821783416
124	0.5818821294
125	0.5813008511
126	0.5808152975
127	0.5803583667
128	0.5798652102
129	0.5792511294
130	0.5785501914
131	0.5781291037
132	0.5775088733
133	0.5770374331
134	0.5767349451
135	0.5762790199
136	0.5758219951
137	0.5753567424
138	0.5744124793
139	0.5736461274
140	0.5728226056
141	0.5723015609
142	0.5719025489
143	0.5714055196
144	0.5708906801
145	0.5703403925
146	0.5697377375
147	0.5692693288
148	0.5688080524
149	0.5677134105
150	0.5670658604
151	0.5665228527
152	0.5658336123
153	0.5654353174
154	0.5649091173
155	0.5645525928
156	0.564099237
157	0.5636814466
158	0.5632912581
159	0.5627149482
160	0.5624470493
161	0.562159694
162	0.5618773442
163	0.5615777491
164	0.5613805289
165	0.5609428628
166	0.5606700565
167	0.5601733871
168	0.5598742006
169	0.5594744516
170	0.5591349712
171	0.5588606103
172	0.5585374192
173	0.557986043
174	0.5576131079
175	0.5570377787
176	0.5567238287
177	0.5562790601
178	0.5559191319
179	0.5554945257
180	0.5550551437
181	0.5548712945
182	0.5541647042
183	0.5537802254
184	0.5533436515
185	0.5526153308
186	0.5522272342
187	0.5516277576
188	0.5511993662
189	0.5505949887
190	0.550304457
191	0.5497821878
192	0.5494932283
193	0.5486147325
194	0.5483796676
195	0.5481030423
196	0.547831688
197	0.5474551282
198	0.547006076
199	0.5461920504
200	0.5458857821
201	0.5452208606
202	0.5447966523
203	0.5443255167
204	0.543986643
205	0.543652308
206	0.5434182988
207	0.5429710845
208	0.5427584059
209	0.5423645386
210	0.541654126
211	0.5412121996
212	0.5407793086
213	0.5400440877
214	0.5396718086
215	0.5391445244
216	0.5389381899
217	0.5384278996
218	0.5380298328
219	0.5375880562
220	0.5371975772
221	0.5368501888
222	0.5364572232
223	0.5361973789
224	0.5359312406
225	0.5356125626
226	0.5350849895
227	0.5347406238
228	0.5342907395
229	0.5340568894
230	0.5337610254
231	0.5332045111
232	0.5330468924
233	0.5327320568
234	0.5321922817
235	0.5318020676
236	0.5314349652
237	0.5307241323
238	0.5304365795
239	0.5299457227
240	0.5296491052
241	0.5293805929
242	0.5291070858
243	0.5285783822
244	0.5283749242
245	0.5280623737
246	0.5276443502
247	0.5274014828
248	0.527135773
249	0.5269129501
250	0.5265120042
251	0.526184377
252	0.5258036375
253	0.5255304877
254	0.5251970534
255	0.5248669361
256	0.5244835735
257	0.5242874347
258	0.5238544743
259	0.5234217101
260	0.5231113585
261	0.5228452447
262	0.5225495212
263	0.5220338688
264	0.5216320941
265	0.5214445932
266	0.5210370101
267	0.5206297607
268	0.5203164677
269	0.5199831238
270	0.5194559395
271	0.5193305135
272	0.518935931
273	0.5183502953
274	0.5179992308
275	0.5175969916
276	0.517307327
277	0.516859613
278	0.5165274102
279	0.5158692867
280	0.5154137348
281	0.5152219028
282	0.514961775
283	0.5144092395
284	0.5139829256
285	0.5136764465
286	0.5134550726
287	0.5133049477
288	0.5129000687
289	0.5126154556
290	0.5119414253
291	0.5115103045
292	0.5113843819
293	0.5111216421
294	0.5107536661
295	0.5104383601
296	0.5101093091
297	0.5098267242
298	0.5095468397
299	0.5091955354
300	0.5089443576
301	0.5086121201
302	0.5082121726
303	0.5080309429
304	0.5077747867
305	0.5074146542
306	0.5072580471
307	0.5070711666
308	0.5067551044
309	0.5064464568
310	0.5062565255
311	0.5060441466
312	0.5056165469
313	0.5052336193
314	0.5049379127
315	0.5047678817
316	0.5044541875
317	0.5042088872
318	0.5039358741
319	0.5037282829
320	0.5034589352
321	0.5030747436
322	0.5028858895
323	0.5027040606
324	0.5024192437
325	0.5022285617
326	0.5018294367
327	0.5016009536
328	0.5012953556
329	0.5010198043
330	0.5007686851
331	0.5005145826
332	0.5001632048
333	0.499747532
334	0.4994467202
335	0.4991997259
336	0.4989231949
337	0.4985550417
338	0.4983688729
339	0.4981663236
340	0.4976945416
341	0.4975548499
342	0.4972545062
343	0.4970471488
344	0.4968878429
345	0.496622258
346	0.4963658026
347	0.4962331546
348	0.4958521574
349	0.4957326255
350	0.4954790214
351	0.4952446557
352	0.4949361107
353	0.4947293776
354	0.4944132724
355	0.4942676419
356	0.4940224222
357	0.4937916154
358	0.4936168509
359	0.4933506559
