iter	Passed	Remaining
0	169	168851
1	199	99639
2	233	77473
3	266	66425
4	301	59996
5	334	55359
6	366	51933
7	396	49193
8	429	47246
9	458	45399
10	491	44215
11	522	43042
12	554	42114
13	587	41388
14	620	40736
15	650	40032
16	682	39443
17	713	38950
18	745	38478
19	777	38098
20	809	37731
21	841	37421
22	873	37088
23	906	36867
24	937	36569
25	968	36293
26	1001	36074
27	1037	36025
28	1073	35934
29	1107	35796
30	1144	35768
31	1182	35776
32	1217	35669
33	1252	35571
34	1287	35506
35	1329	35608
36	1366	35561
37	1402	35514
38	1437	35432
39	1471	35321
40	1508	35282
41	1544	35231
42	1576	35082
43	1616	35121
44	1653	35081
45	1687	35004
46	1725	34989
47	1762	34958
48	1793	34805
49	1828	34744
50	1863	34679
51	1903	34704
52	1935	34582
53	1967	34475
54	2000	34368
55	2035	34316
56	2075	34332
57	2111	34295
58	2147	34258
59	2186	34259
60	2222	34204
61	2253	34093
62	2332	34694
63	2424	35458
64	2474	35595
65	2505	35454
66	2539	35358
67	2571	35240
68	2601	35107
69	2635	35010
70	2667	34896
71	2693	34720
72	2724	34596
73	2757	34503
74	2789	34399
75	2821	34304
76	2852	34197
77	2883	34088
78	2913	33968
79	2948	33912
80	2981	33827
81	3011	33710
82	3042	33610
83	3073	33517
84	3106	33440
85	3138	33350
86	3171	33278
87	3204	33213
88	3236	33131
89	3264	33007
90	3296	32927
91	3329	32865
92	3360	32773
93	3394	32716
94	3426	32639
95	3458	32563
96	3487	32468
97	3519	32389
98	3550	32312
99	3585	32265
100	3616	32187
101	3647	32109
102	3679	32040
103	3712	31985
104	3747	31941
105	3778	31868
106	3808	31784
107	3838	31702
108	3871	31647
109	3903	31580
110	3935	31521
111	3967	31458
112	3993	31343
113	4025	31288
114	4057	31223
115	4088	31160
116	4115	31058
117	4150	31020
118	4183	30973
119	4217	30929
120	4247	30852
121	4280	30803
122	4314	30762
123	4346	30709
124	4382	30674
125	4419	30656
126	4459	30654
127	4493	30608
128	4528	30577
129	4564	30549
130	4598	30504
131	4631	30452
132	4663	30400
133	4693	30330
134	4724	30272
135	4756	30219
136	4787	30160
137	4817	30093
138	4852	30058
139	4886	30014
140	4915	29949
141	4948	29900
142	4980	29851
143	5014	29808
144	5047	29762
145	5078	29703
146	5107	29638
147	5145	29623
148	5177	29571
149	5210	29524
150	5242	29477
151	5278	29451
152	5315	29428
153	5347	29374
154	5377	29316
155	5412	29284
156	5443	29228
157	5474	29176
158	5505	29119
159	5539	29084
160	5573	29047
161	5607	29007
162	5639	28958
163	5670	28904
164	5702	28857
165	5733	28806
166	5764	28752
167	5795	28703
168	5826	28649
169	5858	28602
170	5891	28561
171	5929	28543
172	5969	28535
173	6003	28500
174	6039	28473
175	6079	28461
176	6115	28436
177	6152	28410
178	6187	28381
179	6224	28355
180	6262	28338
181	6296	28299
182	6331	28266
183	6364	28225
184	6404	28215
185	6445	28207
186	6479	28172
187	6517	28149
188	6553	28120
189	6584	28070
190	6615	28021
191	6648	27980
192	6686	27960
193	6723	27935
194	6758	27898
195	6790	27855
196	6825	27823
197	6852	27756
198	6884	27711
199	6920	27680
200	6956	27651
201	6987	27605
202	7025	27583
203	7061	27555
204	7096	27522
205	7130	27483
206	7161	27433
207	7197	27404
208	7230	27366
209	7264	27329
210	7297	27289
211	7328	27240
212	7362	27203
213	7395	27163
214	7428	27121
215	7461	27083
216	7493	27039
217	7528	27004
218	7560	26961
219	7592	26918
220	7620	26861
221	7653	26823
222	7684	26773
223	7718	26739
224	7749	26694
225	7784	26660
226	7816	26616
227	7843	26559
228	7875	26515
229	7906	26470
230	7939	26431
231	7979	26415
232	8015	26387
233	8053	26363
234	8091	26339
235	8123	26297
236	8157	26262
237	8189	26221
238	8230	26205
239	8260	26159
240	8292	26117
241	8324	26075
242	8355	26030
243	8385	25980
244	8417	25940
245	8448	25893
246	8481	25857
247	8513	25814
248	8543	25768
249	8574	25724
250	8608	25687
251	8641	25649
252	8667	25592
253	8700	25553
254	8732	25513
255	8768	25484
256	8801	25444
257	8832	25401
258	8863	25359
259	8898	25326
260	8934	25296
261	8968	25263
262	9007	25241
263	9045	25218
264	9082	25192
265	9117	25159
266	9150	25120
267	9184	25085
268	9213	25036
269	9243	24990
270	9276	24952
271	9309	24917
272	9344	24884
273	9377	24846
274	9405	24796
275	9436	24752
276	9470	24718
277	9502	24678
278	9536	24644
279	9570	24610
280	9603	24573
281	9634	24529
282	9666	24491
283	9699	24454
284	9733	24419
285	9767	24385
286	9799	24344
287	9833	24310
288	9865	24271
289	9899	24235
290	9932	24200
291	9965	24163
292	9997	24124
293	10032	24091
294	10065	24055
295	10099	24020
296	10132	23983
297	10165	23946
298	10193	23898
299	10225	23858
300	10256	23818
301	10284	23770
302	10316	23731
303	10351	23699
304	10383	23659
305	10414	23620
306	10448	23586
307	10480	23548
308	10510	23504
309	10543	23468
310	10575	23428
311	10606	23388
312	10637	23348
313	10669	23308
314	10700	23269
315	10733	23232
316	10764	23193
317	10796	23155
318	10824	23108
319	10858	23074
320	10891	23038
321	10922	22998
322	10953	22957
323	10985	22919
324	11016	22879
325	11047	22840
326	11080	22803
327	11111	22764
328	11146	22734
329	11176	22691
330	11208	22654
331	11244	22623
332	11282	22598
333	11319	22570
334	11352	22535
335	11388	22505
336	11424	22476
337	11456	22439
338	11486	22396
339	11521	22366
340	11556	22333
341	11588	22296
342	11620	22257
343	11653	22222
344	11685	22185
345	11719	22151
346	11756	22123
347	11784	22079
348	11818	22045
349	11852	22011
350	11884	21973
351	11917	21938
352	11946	21896
353	11978	21859
354	12011	21824
355	12039	21779
356	12071	21742
357	12103	21705
358	12137	21672
359	12170	21636
360	12202	21600
361	12232	21558
362	12265	21523
363	12293	21479
364	12323	21440
365	12356	21403
366	12387	21366
367	12422	21334
368	12451	21293
369	12484	21257
370	12517	21221
371	12553	21192
372	12585	21155
373	12614	21114
374	12647	21079
375	12682	21047
376	12715	21012
377	12746	20974
378	12779	20939
379	12810	20901
380	12844	20868
381	12873	20827
382	12905	20789
383	12938	20755
384	12974	20726
385	13007	20690
386	13038	20653
387	13069	20615
388	13102	20580
389	13135	20545
390	13168	20511
391	13200	20475
392	13234	20440
393	13268	20408
394	13297	20366
395	13329	20330
396	13360	20293
397	13394	20260
398	13422	20217
399	13453	20179
400	13482	20139
401	13513	20102
402	13551	20075
403	13588	20046
404	13620	20010
405	13651	19973
406	13684	19938
407	13715	19900
408	13748	19865
409	13780	19830
410	13817	19802
411	13846	19760
412	13879	19727
413	13912	19692
414	13949	19664
415	13981	19627
416	14014	19593
417	14049	19561
418	14085	19531
419	14115	19492
420	14147	19457
421	14181	19423
422	14215	19391
423	14249	19357
424	14279	19319
425	14310	19282
426	14343	19248
427	14378	19216
428	14415	19186
429	14452	19157
430	14486	19125
431	14521	19093
432	14552	19055
433	14586	19022
434	14616	18984
435	14651	18952
436	14690	18925
437	14721	18888
438	14750	18850
439	14783	18815
440	14812	18776
441	14845	18741
442	14878	18707
443	14914	18676
444	14943	18637
445	14976	18602
446	15004	18562
447	15036	18526
448	15069	18493
449	15099	18455
450	15131	18419
451	15161	18382
452	15197	18350
453	15229	18315
454	15258	18276
455	15289	18240
456	15321	18204
457	15354	18171
458	15382	18130
459	15414	18095
460	15441	18054
461	15475	18021
462	15510	17989
463	15547	17960
464	15583	17929
465	15618	17897
466	15653	17865
467	15685	17830
468	15716	17794
469	15751	17762
470	15779	17722
471	15811	17687
472	15845	17655
473	15882	17625
474	15921	17597
475	15956	17565
476	15991	17534
477	16025	17500
478	16060	17468
479	16091	17432
480	16125	17399
481	16161	17368
482	16195	17335
483	16227	17300
484	16259	17265
485	16292	17231
486	16327	17199
487	16359	17164
488	16392	17129
489	16424	17095
490	16457	17061
491	16489	17025
492	16522	16991
493	16555	16957
494	16590	16925
495	16622	16890
496	16653	16854
497	16687	16821
498	16719	16786
499	16754	16754
500	16782	16715
501	16814	16680
502	16845	16645
503	16879	16611
504	16912	16577
505	16942	16540
506	16974	16506
507	17007	16471
508	17042	16439
509	17072	16403
510	17104	16367
511	17135	16332
512	17165	16295
513	17198	16262
514	17234	16230
515	17265	16194
516	17301	16163
517	17334	16129
518	17364	16092
519	17396	16058
520	17432	16027
521	17463	15991
522	17495	15956
523	17529	15923
524	17560	15888
525	17588	15849
526	17615	15810
527	17645	15773
528	17676	15738
529	17711	15706
530	17744	15672
531	17777	15639
532	17810	15604
533	17844	15571
534	17874	15535
535	17907	15502
536	17939	15467
537	17973	15434
538	18008	15402
539	18041	15368
540	18073	15333
541	18106	15300
542	18139	15266
543	18177	15237
544	18214	15206
545	18250	15175
546	18287	15144
547	18320	15111
548	18353	15077
549	18390	15046
550	18424	15013
551	18457	14979
552	18490	14946
553	18523	14912
554	18556	14878
555	18589	14844
556	18617	14807
557	18645	14769
558	18679	14736
559	18712	14702
560	18744	14667
561	18776	14633
562	18811	14601
563	18844	14567
564	18876	14533
565	18908	14498
566	18942	14466
567	18976	14432
568	19005	14396
569	19035	14360
570	19068	14326
571	19102	14293
572	19134	14258
573	19165	14223
574	19197	14189
575	19232	14157
576	19267	14125
577	19296	14088
578	19325	14052
579	19356	14016
580	19390	13983
581	19424	13950
582	19457	13917
583	19491	13884
584	19527	13852
585	19561	13819
586	19594	13786
587	19626	13752
588	19660	13719
589	19691	13684
590	19722	13648
591	19754	13614
592	19789	13582
593	19822	13548
594	19856	13515
595	19889	13482
596	19923	13449
597	19956	13415
598	19989	13382
599	20022	13348
600	20054	13314
601	20089	13281
602	20121	13247
603	20152	13212
604	20186	13179
605	20220	13146
606	20250	13111
607	20283	13077
608	20312	13041
609	20347	13009
610	20401	12988
611	20450	12965
612	20515	12951
613	20559	12925
614	20609	12902
615	20645	12870
616	20672	12832
617	20704	12797
618	20733	12761
619	20766	12728
620	20798	12693
621	20831	12659
622	20863	12624
623	20891	12588
624	20928	12557
625	20961	12523
626	20991	12487
627	21032	12459
628	21067	12426
629	21099	12391
630	21129	12356
631	21159	12320
632	21196	12289
633	21232	12256
634	21268	12225
635	21303	12192
636	21341	12161
637	21374	12127
638	21407	12094
639	21442	12061
640	21481	12030
641	21518	11999
642	21555	11968
643	21745	12020
644	21820	12009
645	21854	11976
646	21897	11946
647	21968	11933
648	22021	11910
649	22068	11882
650	22111	11853
651	22143	11818
652	22176	11784
653	22210	11750
654	22250	11719
655	22287	11687
656	22324	11655
657	22360	11621
658	22397	11589
659	22430	11554
660	22463	11520
661	22499	11487
662	22540	11456
663	22577	11424
664	22637	11404
665	22687	11377
666	22734	11350
667	22777	11320
668	22816	11288
669	22858	11258
670	22898	11227
671	22956	11205
672	22998	11174
673	23034	11141
674	23067	11106
675	23100	11072
676	23131	11035
677	23163	11000
678	23195	10965
679	23234	10933
680	23273	10902
681	23312	10869
682	23351	10838
683	23388	10805
684	23419	10769
685	23450	10733
686	23484	10699
687	23517	10665
688	23553	10631
689	23587	10597
690	23618	10561
691	23651	10526
692	23682	10491
693	23714	10456
694	23752	10423
695	23792	10392
696	23827	10358
697	23864	10325
698	23897	10290
699	23933	10257
700	23963	10221
701	23992	10184
702	24023	10149
703	24056	10114
704	24092	10081
705	24121	10044
706	24155	10010
707	24190	9976
708	24221	9941
709	24253	9906
710	24282	9870
711	24314	9835
712	24347	9800
713	24382	9766
714	24416	9732
715	24454	9699
716	24493	9667
717	24532	9635
718	24568	9601
719	24597	9565
720	24635	9532
721	24668	9498
722	24701	9463
723	24734	9428
724	24768	9395
725	24801	9360
726	24834	9325
727	24865	9290
728	24900	9256
729	24932	9221
730	24965	9187
731	24997	9152
732	25036	9119
733	25076	9087
734	25112	9054
735	25155	9023
736	25198	8992
737	25231	8957
738	25267	8924
739	25310	8893
740	25347	8859
741	25381	8825
742	25415	8790
743	25449	8756
744	25486	8723
745	25524	8690
746	25561	8657
747	25601	8624
748	25638	8591
749	25673	8557
750	25704	8522
751	25742	8489
752	25780	8456
753	25818	8423
754	25856	8390
755	25891	8356
756	25924	8321
757	25955	8286
758	25989	8252
759	26025	8218
760	26060	8184
761	26097	8151
762	26134	8117
763	26173	8085
764	26209	8051
765	26241	8016
766	26273	7981
767	26306	7946
768	26334	7910
769	26366	7875
770	26396	7840
771	26431	7806
772	26464	7771
773	26498	7737
774	26528	7701
775	26562	7667
776	26596	7633
777	26627	7598
778	26659	7563
779	26692	7528
780	26731	7495
781	26766	7461
782	26799	7427
783	26834	7393
784	26868	7358
785	26900	7323
786	26930	7288
787	26960	7253
788	26996	7219
789	27029	7184
790	27062	7150
791	27094	7115
792	27124	7080
793	27158	7046
794	27187	7010
795	27218	6975
796	27252	6941
797	27282	6906
798	27316	6871
799	27353	6838
800	27392	6805
801	27424	6770
802	27460	6736
803	27494	6702
804	27529	6668
805	27566	6635
806	27600	6600
807	27631	6565
808	27663	6531
809	27697	6496
810	27728	6462
811	27760	6427
812	27795	6393
813	27829	6359
814	27860	6324
815	27888	6288
816	27916	6253
817	27947	6218
818	27984	6184
819	28015	6149
820	28044	6114
821	28075	6079
822	28106	6044
823	28138	6010
824	28172	5975
825	28205	5941
826	28239	5907
827	28271	5872
828	28306	5838
829	28338	5804
830	28371	5769
831	28405	5735
832	28437	5701
833	28469	5666
834	28499	5631
835	28534	5597
836	28566	5563
837	28595	5528
838	28628	5493
839	28663	5459
840	28693	5424
841	28726	5390
842	28759	5356
843	28792	5321
844	28827	5287
845	28862	5253
846	28896	5219
847	28930	5185
848	28960	5150
849	28992	5116
850	29025	5081
851	29058	5047
852	29089	5013
853	29118	4978
854	29153	4944
855	29180	4908
856	29214	4874
857	29249	4840
858	29278	4805
859	29310	4771
860	29339	4736
861	29376	4702
862	29408	4668
863	29441	4634
864	29473	4599
865	29511	4566
866	29545	4532
867	29582	4498
868	29619	4465
869	29659	4431
870	29699	4398
871	29737	4365
872	29772	4331
873	29807	4297
874	29844	4263
875	29882	4229
876	29919	4196
877	29955	4162
878	29984	4127
879	30021	4093
880	30052	4059
881	30087	4025
882	30121	3991
883	30155	3957
884	30189	3922
885	30222	3888
886	30255	3854
887	30292	3820
888	30326	3786
889	30361	3752
890	30396	3718
891	30428	3684
892	30465	3650
893	30496	3615
894	30531	3581
895	30567	3548
896	30604	3514
897	30639	3480
898	30675	3446
899	30711	3412
900	30746	3378
901	30781	3344
902	30813	3309
903	30849	3276
904	30881	3241
905	30916	3207
906	30954	3173
907	30989	3139
908	31021	3105
909	31060	3071
910	31094	3037
911	31126	3003
912	31167	2969
913	31205	2936
914	31238	2901
915	31274	2867
916	31310	2833
917	31345	2799
918	31380	2765
919	31415	2731
920	31451	2697
921	31488	2663
922	31525	2629
923	31560	2595
924	31595	2561
925	31631	2527
926	31669	2493
927	31705	2459
928	31747	2426
929	31785	2392
930	31822	2358
931	31856	2324
932	31891	2290
933	31928	2256
934	31970	2222
935	32017	2189
936	32056	2155
937	32090	2121
938	32125	2086
939	32159	2052
940	32193	2018
941	32226	1984
942	32256	1949
943	32287	1915
944	32319	1881
945	32350	1846
946	32382	1812
947	32413	1777
948	32446	1743
949	32477	1709
950	32508	1674
951	32543	1640
952	32575	1606
953	32606	1572
954	32639	1537
955	32670	1503
956	32702	1469
957	32735	1435
958	32769	1401
959	32804	1366
960	32840	1332
961	32872	1298
962	32904	1264
963	32936	1229
964	32969	1195
965	33003	1161
966	33036	1127
967	33068	1093
968	33101	1058
969	33136	1024
970	33168	990
971	33199	956
972	33230	922
973	33261	887
974	33295	853
975	33327	819
976	33360	785
977	33394	751
978	33428	717
979	33463	682
980	33495	648
981	33529	614
982	33563	580
983	33598	546
984	33632	512
985	33664	477
986	33696	443
987	33729	409
988	33761	375
989	33797	341
990	33832	307
991	33870	273
992	33907	239
993	33941	204
994	33973	170
995	34008	136
996	34040	102
997	34075	68
998	34112	34
999	34147	0
